parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
20000000	10000	2000	3	1	2	comm:bcast	0.4	0.07	27.81	6001.0	0.16
20000000	10000	2000	3	1	2	comm:gather	0.25	253.69	0.0	1.0	0.1
20000000	10000	2000	3	1	2	comm:histo_extra	5.71	2.86	275.42	2000.0	2.23
20000000	10000	2000	3	1	2	comm:recv_task	1.59	0.13	605.04	12004.0	0.63
20000000	10000	2000	3	1	2	comm:scatter	6.67	6666.87	0.0	1.0	2.58
20000000	10000	2000	3	1	2	comp:drift	26.97	13.48	15.38	2000.0	10.63
20000000	10000	2000	3	1	2	comp:histo	64.98	32.49	10.45	2000.0	25.58
20000000	10000	2000	3	1	2	comp:kick	147.2	73.6	6.32	2000.0	57.97
20000000	10000	2000	3	1	2	Other	0.29	293.78	0.0	1.0	0.11
20000000	10000	2000	3	1	2	total_time	254.07	254066.66	0.0	1.0	100.0
20000000	10000	2000	5	1	2	comm:bcast	0.37	0.06	25.42	6001.0	0.22
20000000	10000	2000	5	1	2	comm:gather	0.23	231.77	0.0	1.0	0.14
20000000	10000	2000	5	1	2	comm:histo_extra	11.2	5.6	169.79	2000.0	6.73
20000000	10000	2000	5	1	2	comm:recv_task	1.63	0.14	749.73	12004.0	0.99
20000000	10000	2000	5	1	2	comm:scatter	3.08	3084.8	0.0	1.0	1.83
20000000	10000	2000	5	1	2	comp:drift	17.45	8.72	14.37	2000.0	10.51
20000000	10000	2000	5	1	2	comp:histo	40.83	20.41	15.73	2000.0	24.54
20000000	10000	2000	5	1	2	comp:kick	91.22	45.61	6.16	2000.0	54.88
20000000	10000	2000	5	1	2	Other	0.26	264.31	0.0	1.0	0.16
20000000	10000	2000	5	1	2	total_time	166.27	166269.39	0.0	1.0	100.0
20000000	10000	2000	7	1	2	comm:bcast	0.38	0.06	24.83	6001.0	0.27
20000000	10000	2000	7	1	2	comm:gather	0.28	281.85	0.0	1.0	0.2
20000000	10000	2000	7	1	2	comm:histo_extra	21.82	10.91	94.48	2000.0	15.67
20000000	10000	2000	7	1	2	comm:recv_task	2.45	0.2	1055.92	12004.0	1.76
20000000	10000	2000	7	1	2	comm:scatter	1.02	1015.36	0.0	1.0	0.73
20000000	10000	2000	7	1	2	comp:drift	13.8	6.9	16.86	2000.0	9.91
20000000	10000	2000	7	1	2	comp:histo	31.74	15.87	16.1	2000.0	22.78
20000000	10000	2000	7	1	2	comp:kick	67.54	33.77	5.84	2000.0	48.48
20000000	10000	2000	7	1	2	Other	0.28	277.22	0.0	1.0	0.2
20000000	10000	2000	7	1	2	total_time	139.31	139310.6	0.0	1.0	100.0
20000000	10000	2000	9	1	2	comm:bcast	0.5	0.08	31.11	6001.0	0.42
20000000	10000	2000	9	1	2	comm:gather	0.28	282.77	0.0	1.0	0.23
20000000	10000	2000	9	1	2	comm:histo_extra	24.51	12.26	39.53	2000.0	20.33
20000000	10000	2000	9	1	2	comm:recv_task	8.87	0.74	400.56	12004.0	7.35
20000000	10000	2000	9	1	2	comm:scatter	1.61	1608.74	0.0	1.0	1.3
20000000	10000	2000	9	1	2	comp:drift	10.53	5.27	21.95	2000.0	8.7
20000000	10000	2000	9	1	2	comp:histo	24.3	12.15	7.13	2000.0	19.94
20000000	10000	2000	9	1	2	comp:kick	50.3	25.15	8.85	2000.0	41.47
20000000	10000	2000	9	1	2	Other	0.3	301.58	0.0	1.0	0.25
20000000	10000	2000	9	1	2	total_time	121.21	121209.65	0.0	1.0	100.0
20000000	10000	2000	11	1	2	comm:bcast	0.36	0.06	23.88	6001.0	0.46
20000000	10000	2000	11	1	2	comm:gather	0.17	169.88	0.0	1.0	0.22
20000000	10000	2000	11	1	2	comm:histo_extra	3.08	1.54	179.25	2000.0	3.95
20000000	10000	2000	11	1	2	comm:recv_task	0.5	0.04	1828.46	12004.0	0.64
20000000	10000	2000	11	1	2	comm:scatter	0.32	316.17	0.0	1.0	0.41
20000000	10000	2000	11	1	2	comp:drift	11.53	5.77	15.41	2000.0	14.78
20000000	10000	2000	11	1	2	comp:histo	18.02	9.01	4.44	2000.0	23.09
20000000	10000	2000	11	1	2	comp:kick	43.8	21.9	4.71	2000.0	56.14
20000000	10000	2000	11	1	2	Other	0.25	252.61	0.0	1.0	0.32
20000000	10000	2000	11	1	2	total_time	78.02	78017.32	0.0	1.0	100.0
20000000	10000	2000	13	1	2	comm:bcast	0.38	0.06	25.83	6001.0	0.56
20000000	10000	2000	13	1	2	comm:gather	0.22	224.01	0.0	1.0	0.33
20000000	10000	2000	13	1	2	comm:histo_extra	3.16	1.58	136.5	2000.0	4.64
20000000	10000	2000	13	1	2	comm:recv_task	1.31	0.11	1347.28	12004.0	1.92
