parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
20000000	10000	2000	3	1	2	comm	14.63	5.7	2.17	9.49	2.99
20000000	10000	2000	3	1	2	comp	239.14	94.18	90.4	97.72	2.99
20000000	10000	2000	3	1	2	other	0.29	0.11	0.11	0.12	0.0
20000000	10000	2000	3	1	2	total	254.07	100.0	100.0	100.0	0.0
20000000	10000	2000	5	1	2	comm	16.51	9.91	8.21	13.9	2.06
20000000	10000	2000	5	1	2	comp	149.49	89.93	85.94	91.65	2.07
20000000	10000	2000	5	1	2	other	0.26	0.16	0.16	0.16	0.0
20000000	10000	2000	5	1	2	total	166.27	100.0	100.0	100.0	0.0
20000000	10000	2000	7	1	2	comm	25.95	18.63	10.74	23.92	3.69
20000000	10000	2000	7	1	2	comp	113.09	81.17	75.89	89.06	3.69
20000000	10000	2000	7	1	2	other	0.28	0.2	0.19	0.22	0.01
20000000	10000	2000	7	1	2	total	139.31	100.0	100.0	100.0	0.0
20000000	10000	2000	9	1	2	comm	35.78	29.63	7.02	35.27	8.25
20000000	10000	2000	9	1	2	comp	85.13	70.12	64.51	92.66	8.22
20000000	10000	2000	9	1	2	other	0.3	0.25	0.21	0.32	0.04
20000000	10000	2000	9	1	2	total	121.21	100.0	100.0	100.0	0.0
20000000	10000	2000	11	1	2	comm	4.42	5.66	2.82	8.88	2.62
20000000	10000	2000	11	1	2	comp	73.35	94.01	90.78	96.85	2.61
20000000	10000	2000	11	1	2	other	0.25	0.32	0.28	0.36	0.03
20000000	10000	2000	11	1	2	total	78.02	100.0	100.0	100.0	0.0
20000000	10000	2000	13	1	2	comm	10.68	15.66	5.46	18.82	3.62
20000000	10000	2000	13	1	2	comp	56.99	83.96	80.75	94.17	3.64
20000000	10000	2000	13	1	2	other	0.26	0.39	0.34	0.48	0.05
20000000	10000	2000	13	1	2	total	67.94	100.0	100.0	100.0	0.0
20000000	10000	2000	15	1	2	comm	3.11	5.16	3.24	7.37	1.91
20000000	10000	2000	15	1	2	comp	56.88	94.46	92.25	96.39	1.91
20000000	10000	2000	15	1	2	other	0.23	0.39	0.35	0.44	0.02
20000000	10000	2000	15	1	2	total	60.21	100.0	100.0	100.0	0.0
20000000	10000	2000	17	1	2	comm	22.88	32.74	14.54	38.9	6.82
20000000	10000	2000	17	1	2	comp	46.75	66.9	60.73	84.97	6.78
20000000	10000	2000	17	1	2	other	0.25	0.36	0.32	0.48	0.05
