parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
20000000	10000	2000	3	1	4	comm:bcast	0.42	0.07	25.11	6001.0	0.19
20000000	10000	2000	3	1	4	comm:gather	0.2	199.95	0.0	1.0	0.09
20000000	10000	2000	3	1	4	comm:histo_extra	1.72	0.86	459.8	2000.0	0.76
20000000	10000	2000	3	1	4	comm:recv_task	3.0	0.25	254.38	12004.0	1.33
20000000	10000	2000	3	1	4	comm:scatter	0.37	372.29	0.0	1.0	0.17
20000000	10000	2000	3	1	4	comp:drift	23.73	11.87	11.37	2000.0	10.51
20000000	10000	2000	3	1	4	comp:histo	60.02	30.01	9.62	2000.0	26.58
20000000	10000	2000	3	1	4	comp:kick	136.07	68.03	9.51	2000.0	60.25
20000000	10000	2000	3	1	4	Other	0.29	287.29	0.0	1.0	0.13
20000000	10000	2000	3	1	4	total_time	225.82	225819.95	0.0	1.0	100.0
20000000	10000	2000	5	1	4	comm:bcast	0.39	0.06	25.95	6001.0	0.27
20000000	10000	2000	5	1	4	comm:gather	0.19	192.21	0.0	1.0	0.13
20000000	10000	2000	5	1	4	comm:histo_extra	3.29	1.65	240.34	2000.0	2.26
20000000	10000	2000	5	1	4	comm:recv_task	1.79	0.15	818.97	12004.0	1.23
20000000	10000	2000	5	1	4	comm:scatter	0.62	617.34	0.0	1.0	0.42
20000000	10000	2000	5	1	4	comp:drift	15.3	7.65	10.18	2000.0	10.49
20000000	10000	2000	5	1	4	comp:histo	37.92	18.96	5.94	2000.0	26.01
20000000	10000	2000	5	1	4	comp:kick	86.0	43.0	5.39	2000.0	59.0
20000000	10000	2000	5	1	4	Other	0.27	269.01	0.0	1.0	0.19
20000000	10000	2000	5	1	4	total_time	145.77	145769.64	0.0	1.0	100.0
20000000	10000	2000	7	1	4	comm:bcast	0.4	0.07	25.23	6001.0	0.38
20000000	10000	2000	7	1	4	comm:gather	0.19	190.46	0.0	1.0	0.18
20000000	10000	2000	7	1	4	comm:histo_extra	1.86	0.93	207.27	2000.0	1.77
20000000	10000	2000	7	1	4	comm:recv_task	1.63	0.14	746.35	12004.0	1.56
20000000	10000	2000	7	1	4	comm:scatter	0.6	599.07	0.0	1.0	0.57
20000000	10000	2000	7	1	4	comp:drift	11.37	5.68	12.39	2000.0	10.83
20000000	10000	2000	7	1	4	comp:histo	27.09	13.54	6.96	2000.0	25.8
20000000	10000	2000	7	1	4	comp:kick	61.59	30.8	6.59	2000.0	58.67
20000000	10000	2000	7	1	4	Other	0.26	257.67	0.0	1.0	0.24
20000000	10000	2000	7	1	4	total_time	104.98	104978.42	0.0	1.0	100.0
20000000	10000	2000	9	1	4	comm:bcast	0.39	0.06	31.21	6001.0	0.47
20000000	10000	2000	9	1	4	comm:gather	0.18	178.44	0.0	1.0	0.21
20000000	10000	2000	9	1	4	comm:histo_extra	1.7	0.85	157.99	2000.0	2.06
20000000	10000	2000	9	1	4	comm:recv_task	1.59	0.13	1176.33	12004.0	1.93
20000000	10000	2000	9	1	4	comm:scatter	0.39	389.53	0.0	1.0	0.47
20000000	10000	2000	9	1	4	comp:drift	9.43	4.71	20.95	2000.0	11.41
20000000	10000	2000	9	1	4	comp:histo	20.95	10.47	9.53	2000.0	25.36
20000000	10000	2000	9	1	4	comp:kick	47.72	23.86	9.79	2000.0	57.77
20000000	10000	2000	9	1	4	Other	0.26	257.85	0.0	1.0	0.31
20000000	10000	2000	9	1	4	total_time	82.59	82592.7	0.0	1.0	100.0
20000000	10000	2000	11	1	4	comm:bcast	0.36	0.06	33.58	6001.0	0.53
20000000	10000	2000	11	1	4	comm:gather	0.19	190.92	0.0	1.0	0.28
20000000	10000	2000	11	1	4	comm:histo_extra	1.66	0.83	222.51	2000.0	2.48
20000000	10000	2000	11	1	4	comm:recv_task	0.62	0.05	1692.71	12004.0	0.92
20000000	10000	2000	11	1	4	comm:scatter	0.38	378.91	0.0	1.0	0.57
20000000	10000	2000	11	1	4	comp:drift	7.64	3.82	20.32	2000.0	11.41
20000000	10000	2000	11	1	4	comp:histo	16.85	8.42	10.71	2000.0	25.16
20000000	10000	2000	11	1	4	comp:kick	39.03	19.52	11.55	2000.0	58.28
20000000	10000	2000	11	1	4	Other	0.24	242.91	0.0	1.0	0.36
20000000	10000	2000	11	1	4	total_time	66.97	66970.33	0.0	1.0	100.0
20000000	10000	2000	13	1	4	comm:bcast	0.37	0.06	28.67	6001.0	0.63
20000000	10000	2000	13	1	4	comm:gather	0.19	187.94	0.0	1.0	0.32
20000000	10000	2000	13	1	4	comm:histo_extra	1.52	0.76	135.05	2000.0	2.62
20000000	10000	2000	13	1	4	comm:recv_task	1.26	0.11	1342.3	12004.0	2.17
20000000	10000	2000	13	1	4	comm:scatter	0.35	349.57	0.0	1.0	0.6
20000000	10000	2000	13	1	4	comp:drift	6.99	3.5	21.0	2000.0	12.02
20000000	10000	2000	13	1	4	comp:histo	14.32	7.16	8.85	2000.0	24.62
20000000	10000	2000	13	1	4	comp:kick	32.93	16.47	9.63	2000.0	56.6
20000000	10000	2000	13	1	4	Other	0.24	243.01	0.0	1.0	0.42
20000000	10000	2000	13	1	4	total_time	58.18	58176.9	0.0	1.0	100.0
20000000	10000	2000	15	1	4	comm:bcast	0.37	0.06	29.72	6001.0	0.62
20000000	10000	2000	15	1	4	comm:gather	0.17	166.33	0.0	1.0	0.28
20000000	10000	2000	15	1	4	comm:histo_extra	5.93	2.97	132.42	2000.0	9.84
20000000	10000	2000	15	1	4	comm:recv_task	1.69	0.14	791.11	12004.0	2.8
20000000	10000	2000	15	1	4	comm:scatter	0.52	524.38	0.0	1.0	0.87
20000000	10000	2000	15	1	4	comp:drift	6.9	3.45	17.26	2000.0	11.46
20000000	10000	2000	15	1	4	comp:histo	13.64	6.82	9.64	2000.0	22.62
20000000	10000	2000	15	1	4	comp:kick	30.81	15.41	6.02	2000.0	51.11
20000000	10000	2000	15	1	4	Other	0.25	249.68	0.0	1.0	0.41
20000000	10000	2000	15	1	4	total_time	60.28	60283.0	0.0	1.0	100.0
20000000	10000	2000	17	1	4	comm:bcast	0.38	0.06	33.18	6001.0	0.66
20000000	10000	2000	17	1	4	comm:gather	0.22	216.71	0.0	1.0	0.38
20000000	10000	2000	17	1	4	comm:histo_extra	7.98	3.99	100.18	2000.0	13.87
20000000	10000	2000	17	1	4	comm:recv_task	1.74	0.14	1028.87	12004.0	3.02
20000000	10000	2000	17	1	4	comm:scatter	0.54	538.35	0.0	1.0	0.93
20000000	10000	2000	17	1	4	comp:drift	6.36	3.18	16.76	2000.0	11.04
20000000	10000	2000	17	1	4	comp:histo	12.22	6.11	9.38	2000.0	21.22
20000000	10000	2000	17	1	4	comp:kick	27.88	13.94	5.75	2000.0	48.44
20000000	10000	2000	17	1	4	Other	0.25	253.49	0.0	1.0	0.44
20000000	10000	2000	17	1	4	total_time	57.55	57552.56	0.0	1.0	100.0
20000000	10000	2000	19	1	4	comm:bcast	0.5	0.08	35.23	6001.0	0.84
20000000	10000	2000	19	1	4	comm:gather	0.2	199.19	0.0	1.0	0.34
20000000	10000	2000	19	1	4	comm:histo_extra	12.89	6.45	36.32	2000.0	21.81
20000000	10000	2000	19	1	4	comm:recv_task	5.44	0.45	331.47	12004.0	9.21
20000000	10000	2000	19	1	4	comm:scatter	0.56	557.24	0.0	1.0	0.94
20000000	10000	2000	19	1	4	comp:drift	4.91	2.46	11.9	2000.0	8.3
20000000	10000	2000	19	1	4	comp:histo	10.88	5.44	4.8	2000.0	18.38
20000000	10000	2000	19	1	4	comp:kick	23.5	11.75	5.78	2000.0	39.74
20000000	10000	2000	19	1	4	Other	0.26	262.22	0.0	1.0	0.44
20000000	10000	2000	19	1	4	total_time	59.15	59145.11	0.0	1.0	100.0
20000000	10000	2000	21	1	4	comm:bcast	0.34	0.06	25.61	6001.0	0.83
20000000	10000	2000	21	1	4	comm:gather	0.17	171.57	0.0	1.0	0.42
20000000	10000	2000	21	1	4	comm:histo_extra	1.52	0.76	154.49	2000.0	3.73
20000000	10000	2000	21	1	4	comm:recv_task	0.9	0.07	1592.09	12004.0	2.21
20000000	10000	2000	21	1	4	comm:scatter	0.7	702.86	0.0	1.0	1.72
20000000	10000	2000	21	1	4	comp:drift	5.62	2.81	10.83	2000.0	13.79
20000000	10000	2000	21	1	4	comp:histo	9.31	4.66	4.68	2000.0	22.87
20000000	10000	2000	21	1	4	comp:kick	21.94	10.97	7.47	2000.0	53.87
20000000	10000	2000	21	1	4	Other	0.22	223.99	0.0	1.0	0.55
20000000	10000	2000	21	1	4	total_time	40.72	40722.81	0.0	1.0	100.0
20000000	10000	2000	23	1	4	comm:bcast	0.35	0.06	26.52	6001.0	0.87
