parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
20000000	10000	2000	3	1	4	comm	5.71	2.53	1.3	3.18	0.87
20000000	10000	2000	3	1	4	comp	219.82	97.34	96.7	98.59	0.88
20000000	10000	2000	3	1	4	other	0.29	0.13	0.12	0.13	0.0
20000000	10000	2000	3	1	4	total	225.82	100.0	100.0	100.0	0.0
20000000	10000	2000	5	1	4	comm	6.29	4.32	1.9	6.08	1.91
20000000	10000	2000	5	1	4	comp	139.21	95.5	93.74	97.93	1.92
20000000	10000	2000	5	1	4	other	0.27	0.19	0.17	0.22	0.02
20000000	10000	2000	5	1	4	total	145.77	100.0	100.0	100.0	0.0
20000000	10000	2000	7	1	4	comm	4.68	4.46	2.74	6.27	1.18
20000000	10000	2000	7	1	4	comp	100.04	95.3	93.49	97.02	1.19
20000000	10000	2000	7	1	4	other	0.26	0.24	0.22	0.29	0.02
20000000	10000	2000	7	1	4	total	104.98	100.0	100.0	100.0	0.0
20000000	10000	2000	9	1	4	comm	4.25	5.14	2.63	6.72	1.79
20000000	10000	2000	9	1	4	comp	78.09	94.54	92.95	97.06	1.79
20000000	10000	2000	9	1	4	other	0.26	0.31	0.28	0.35	0.02
20000000	10000	2000	9	1	4	total	82.59	100.0	100.0	100.0	0.0
20000000	10000	2000	11	1	4	comm	3.21	4.79	4.12	6.84	0.97
20000000	10000	2000	11	1	4	comp	63.52	94.85	92.79	95.54	0.98
20000000	10000	2000	11	1	4	other	0.24	0.36	0.34	0.42	0.02
20000000	10000	2000	11	1	4	total	66.97	100.0	100.0	100.0	0.0
20000000	10000	2000	13	1	4	comm	3.69	6.34	3.6	8.33	1.89
20000000	10000	2000	13	1	4	comp	54.25	93.24	91.31	95.99	1.88
20000000	10000	2000	13	1	4	other	0.24	0.42	0.37	0.47	0.03
20000000	10000	2000	13	1	4	total	58.18	100.0	100.0	100.0	0.0
20000000	10000	2000	15	1	4	comm	8.68	14.4	11.63	17.55	1.54
20000000	10000	2000	15	1	4	comp	51.35	85.18	82.05	87.93	1.54
20000000	10000	2000	15	1	4	other	0.25	0.41	0.37	0.5	0.03
20000000	10000	2000	15	1	4	total	60.28	100.0	100.0	100.0	0.0
20000000	10000	2000	17	1	4	comm	10.85	18.85	10.44	21.25	2.65
20000000	10000	2000	17	1	4	comp	46.45	80.7	78.34	89.09	2.64
20000000	10000	2000	17	1	4	other	0.25	0.44	0.4	0.49	0.02
20000000	10000	2000	17	1	4	total	57.55	100.0	100.0	100.0	0.0
20000000	10000	2000	19	1	4	comm	19.59	33.13	5.27	38.71	6.85
20000000	10000	2000	19	1	4	comp	39.29	66.42	60.9	94.1	6.8
20000000	10000	2000	19	1	4	other	0.26	0.44	0.39	0.63	0.06
20000000	10000	2000	19	1	4	total	59.15	100.0	100.0	100.0	0.0
20000000	10000	2000	21	1	4	comm	3.63	8.92	5.95	10.63	1.81
20000000	10000	2000	21	1	4	comp	36.87	90.53	88.81	93.51	1.81
20000000	10000	2000	21	1	4	other	0.22	0.55	0.5	0.67	0.04
20000000	10000	2000	21	1	4	total	40.72	100.0	100.0	100.0	0.0
20000000	10000	2000	23	1	4	comm	4.2	10.6	7.81	16.66	2.3
20000000	10000	2000	23	1	4	comp	35.18	88.8	82.77	91.63	2.3
20000000	10000	2000	23	1	4	other	0.24	0.6	0.55	0.82	0.05
20000000	10000	2000	23	1	4	total	39.62	100.0	100.0	100.0	0.0
20000000	10000	2000	25	1	4	comm	6.3	17.25	10.05	23.25	4.43
20000000	10000	2000	25	1	4	comp	29.99	82.06	76.17	89.22	4.42
20000000	10000	2000	25	1	4	other	0.25	0.69	0.58	0.79	0.05
20000000	10000	2000	25	1	4	total	36.55	100.0	100.0	100.0	0.0
20000000	10000	2000	27	1	4	comm	10.25	24.67	17.02	27.15	1.77
20000000	10000	2000	27	1	4	comp	31.06	74.74	72.28	82.32	1.75
20000000	10000	2000	27	1	4	other	0.24	0.58	0.54	0.67	0.03
20000000	10000	2000	27	1	4	total	41.56	100.0	100.0	100.0	0.0
20000000	10000	2000	29	1	4	comm	17.84	41.57	21.45	48.34	6.99
20000000	10000	2000	29	1	4	comp	24.84	57.87	51.16	77.82	6.91
20000000	10000	2000	29	1	4	other	0.24	0.55	0.44	0.72	0.08
20000000	10000	2000	29	1	4	total	42.92	100.0	100.0	100.0	0.0
20000000	10000	2000	31	1	4	comm	10.46	27.33	21.44	30.27	1.56
20000000	10000	2000	31	1	4	comp	27.57	72.04	68.85	77.84	1.56
20000000	10000	2000	31	1	4	other	0.24	0.64	0.59	0.87	0.05
20000000	10000	2000	31	1	4	total	38.27	100.0	100.0	100.0	0.0
20000000	10000	2000	33	1	4	comm	13.46	36.27	17.73	39.46	4.11
20000000	10000	2000	33	1	4	comp	23.41	63.1	59.94	81.39	4.06
20000000	10000	2000	33	1	4	other	0.24	0.64	0.53	0.88	0.08
20000000	10000	2000	33	1	4	total	37.11	100.0	100.0	100.0	0.0
20000000	10000	2000	35	1	4	comm	10.83	30.02	24.8	33.49	1.58
20000000	10000	2000	35	1	4	comp	25.01	69.31	65.64	74.44	1.57
20000000	10000	2000	35	1	4	other	0.24	0.67	0.61	0.87	0.05
20000000	10000	2000	35	1	4	total	36.08	100.0	100.0	100.0	0.0
20000000	10000	2000	37	1	4	comm	10.05	29.99	11.54	38.13	4.07
20000000	10000	2000	37	1	4	comp	23.24	69.31	60.95	87.33	4.04
20000000	10000	2000	37	1	4	other	0.24	0.71	0.61	1.12	0.1
20000000	10000	2000	37	1	4	total	33.53	100.0	100.0	100.0	0.0
20000000	10000	2000	39	1	4	comm	13.31	42.49	9.99	48.74	7.78
20000000	10000	2000	39	1	4	comp	17.83	56.9	50.7	89.05	7.69
20000000	10000	2000	39	1	4	other	0.19	0.62	0.53	1.04	0.1
20000000	10000	2000	39	1	4	total	31.32	100.0	100.0	100.0	0.0
20000000	10000	2000	41	1	4	comm	5.2	22.99	11.46	33.79	8.1
20000000	10000	2000	41	1	4	comp	17.22	76.16	65.42	87.61	8.04
20000000	10000	2000	41	1	4	other	0.19	0.85	0.67	0.95	0.07
20000000	10000	2000	41	1	4	total	22.62	100.0	100.0	100.0	0.0
20000000	10000	2000	43	1	4	comm	3.57	17.28	13.06	22.52	2.97
20000000	10000	2000	43	1	4	comp	16.84	81.74	76.49	85.99	2.97
20000000	10000	2000	43	1	4	other	0.2	0.98	0.87	1.23	0.08
20000000	10000	2000	43	1	4	total	20.61	100.0	100.0	100.0	0.0
20000000	10000	2000	45	1	4	comm	5.39	22.27	12.38	49.77	10.71
20000000	10000	2000	45	1	4	comp	18.58	76.85	49.72	86.55	10.57
20000000	10000	2000	45	1	4	other	0.21	0.88	0.5	1.22	0.16
20000000	10000	2000	45	1	4	total	24.18	100.0	100.0	100.0	0.0
20000000	10000	2000	47	1	4	comm	4.66	20.55	12.72	50.44	13.45
20000000	10000	2000	47	1	4	comp	17.79	78.56	49.04	86.34	13.3
20000000	10000	2000	47	1	4	other	0.2	0.89	0.51	1.02	0.15
20000000	10000	2000	47	1	4	total	22.65	100.0	100.0	100.0	0.0
20000000	10000	2000	49	1	4	comm	5.25	24.13	12.95	47.73	12.97
20000000	10000	2000	49	1	4	comp	16.29	74.97	51.7	86.05	12.83
20000000	10000	2000	49	1	4	other	0.19	0.9	0.57	1.07	0.15
20000000	10000	2000	49	1	4	total	21.73	100.0	100.0	100.0	0.0
20000000	10000	2000	51	1	4	comm	15.8	46.51	16.0	68.26	16.43
20000000	10000	2000	51	1	4	comp	18.01	52.74	31.35	82.83	16.16
20000000	10000	2000	51	1	4	other	0.26	0.75	0.37	1.25	0.29
20000000	10000	2000	51	1	4	total	34.07	100.0	100.0	100.0	0.0
20000000	10000	2000	53	1	4	comm	5.05	25.11	14.6	43.5	11.85
20000000	10000	2000	53	1	4	comp	14.85	73.92	55.77	84.39	11.73
20000000	10000	2000	53	1	4	other	0.19	0.97	0.71	1.16	0.13
