parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
5000000	2500	2000	1	1	1	comm:bcast	0.34	0.06	33.34	6001.0	0.21
5000000	2500	2000	1	1	1	comm:gather	0.06	58.01	0.0	1.0	0.04
5000000	2500	2000	1	1	1	comm:histo_extra	0.04	0.02	24.49	2000.0	0.02
5000000	2500	2000	1	1	1	comm:recv_task	0.26	0.02	408.34	12004.0	0.16
5000000	2500	2000	1	1	1	comm:scatter	0.09	88.1	0.0	1.0	0.06
5000000	2500	2000	1	1	1	comp:drift	16.72	8.36	12.22	2000.0	10.56
5000000	2500	2000	1	1	1	comp:histo	42.79	21.4	11.1	2000.0	27.03
5000000	2500	2000	1	1	1	comp:kick	97.78	48.89	10.79	2000.0	61.76
5000000	2500	2000	1	1	1	Other	0.25	251.53	0.0	1.0	0.16
5000000	2500	2000	1	1	1	total_time	158.31	158312.3	0.0	1.0	100.0
5000000	2500	2000	2	1	1	comm:bcast	0.33	0.05	24.54	6001.0	0.37
5000000	2500	2000	2	1	1	comm:gather	0.05	50.72	0.0	1.0	0.06
5000000	2500	2000	2	1	1	comm:histo_extra	0.18	0.09	121.86	2000.0	0.2
5000000	2500	2000	2	1	1	comm:recv_task	0.28	0.02	513.84	12004.0	0.32
5000000	2500	2000	2	1	1	comm:scatter	0.09	86.82	0.0	1.0	0.1
5000000	2500	2000	2	1	1	comp:drift	9.74	4.87	10.56	2000.0	11.0
5000000	2500	2000	2	1	1	comp:histo	23.63	11.81	5.26	2000.0	26.68
5000000	2500	2000	2	1	1	comp:kick	53.99	27.0	5.29	2000.0	60.98
5000000	2500	2000	2	1	1	Other	0.24	241.71	0.0	1.0	0.28
5000000	2500	2000	2	1	1	total_time	88.53	88533.12	0.0	1.0	100.0
5000000	2500	2000	3	1	1	comm:bcast	0.34	0.06	24.7	6001.0	0.54
5000000	2500	2000	3	1	1	comm:gather	0.05	48.42	0.0	1.0	0.08
5000000	2500	2000	3	1	1	comm:histo_extra	0.26	0.13	224.87	2000.0	0.42
5000000	2500	2000	3	1	1	comm:recv_task	0.33	0.03	839.05	12004.0	0.53
5000000	2500	2000	3	1	1	comm:scatter	0.08	77.44	0.0	1.0	0.13
5000000	2500	2000	3	1	1	comp:drift	7.69	3.85	17.1	2000.0	12.39
5000000	2500	2000	3	1	1	comp:histo	16.0	8.0	6.63	2000.0	25.77
5000000	2500	2000	3	1	1	comp:kick	37.09	18.55	7.28	2000.0	59.76
5000000	2500	2000	3	1	1	Other	0.24	237.76	0.0	1.0	0.38
5000000	2500	2000	3	1	1	total_time	62.07	62070.62	0.0	1.0	100.0
5000000	2500	2000	4	1	1	comm:bcast	0.33	0.06	22.34	6001.0	0.67
5000000	2500	2000	4	1	1	comm:gather	0.05	46.73	0.0	1.0	0.09
5000000	2500	2000	4	1	1	comm:histo_extra	0.25	0.13	183.32	2000.0	0.51
5000000	2500	2000	4	1	1	comm:recv_task	0.38	0.03	934.69	12004.0	0.76
5000000	2500	2000	4	1	1	comm:scatter	0.07	69.48	0.0	1.0	0.14
5000000	2500	2000	4	1	1	comp:drift	6.73	3.37	13.0	2000.0	13.6
5000000	2500	2000	4	1	1	comp:histo	12.37	6.19	2.69	2000.0	24.98
5000000	2500	2000	4	1	1	comp:kick	29.12	14.56	4.01	2000.0	58.78
5000000	2500	2000	4	1	1	Other	0.24	235.65	0.0	1.0	0.48
5000000	2500	2000	4	1	1	total_time	49.54	49543.06	0.0	1.0	100.0
5000000	2500	2000	5	1	1	comm:bcast	0.3	0.05	20.94	6001.0	0.74
5000000	2500	2000	5	1	1	comm:gather	0.05	45.4	0.0	1.0	0.11
5000000	2500	2000	5	1	1	comm:histo_extra	0.27	0.13	443.83	2000.0	0.67
5000000	2500	2000	5	1	1	comm:recv_task	0.34	0.03	1264.58	12004.0	0.84
5000000	2500	2000	5	1	1	comm:scatter	0.08	77.11	0.0	1.0	0.19
5000000	2500	2000	5	1	1	comp:drift	5.96	2.98	11.63	2000.0	14.75
5000000	2500	2000	5	1	1	comp:histo	9.83	4.91	4.05	2000.0	24.34
5000000	2500	2000	5	1	1	comp:kick	23.35	11.67	9.02	2000.0	57.82
5000000	2500	2000	5	1	1	Other	0.22	215.56	0.0	1.0	0.54
5000000	2500	2000	5	1	1	total_time	40.38	40377.28	0.0	1.0	100.0
5000000	2500	2000	6	1	1	comm:bcast	0.34	0.06	24.65	6001.0	0.94
5000000	2500	2000	6	1	1	comm:gather	0.05	48.66	0.0	1.0	0.14
5000000	2500	2000	6	1	1	comm:histo_extra	0.99	0.49	160.52	2000.0	2.82
5000000	2500	2000	6	1	1	comm:recv_task	3.88	0.32	1202.61	12004.0	10.93
5000000	2500	2000	6	1	1	comm:scatter	2.47	2473.67	0.0	1.0	6.51
5000000	2500	2000	6	1	1	comp:drift	3.58	1.79	12.48	2000.0	9.78
5000000	2500	2000	6	1	1	comp:histo	7.63	3.82	3.87	2000.0	20.94
5000000	2500	2000	6	1	1	comp:kick	17.27	8.63	5.67	2000.0	47.34
5000000	2500	2000	6	1	1	Other	0.22	217.01	0.0	1.0	0.6
5000000	2500	2000	6	1	1	total_time	36.43	36431.59	0.0	1.0	100.0
5000000	2500	2000	7	1	1	comm:bcast	0.36	0.06	29.82	6001.0	0.82
5000000	2500	2000	7	1	1	comm:gather	0.07	66.01	0.0	1.0	0.15
5000000	2500	2000	7	1	1	comm:histo_extra	6.92	3.46	104.47	2000.0	15.65
5000000	2500	2000	7	1	1	comm:recv_task	3.92	0.33	4229.97	12004.0	8.45
5000000	2500	2000	7	1	1	comm:scatter	0.11	107.43	0.0	1.0	0.25
5000000	2500	2000	7	1	1	comp:drift	4.42	2.21	21.23	2000.0	9.95
5000000	2500	2000	7	1	1	comp:histo	9.96	4.98	39.05	2000.0	22.52
5000000	2500	2000	7	1	1	comp:kick	18.43	9.21	16.73	2000.0	41.59
5000000	2500	2000	7	1	1	Other	0.27	271.87	0.0	1.0	0.61
