parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
5000000	2500	2000	1	1	1	comm	0.78	0.49	0.49	0.49	0.0
5000000	2500	2000	1	1	1	comp	157.28	99.35	99.35	99.35	0.0
5000000	2500	2000	1	1	1	other	0.25	0.16	0.16	0.16	0.0
5000000	2500	2000	1	1	1	total	158.31	100.0	100.0	100.0	0.0
5000000	2500	2000	2	1	1	comm	0.94	1.05	0.95	1.15	0.1
5000000	2500	2000	2	1	1	comp	87.36	98.67	98.54	98.8	0.13
5000000	2500	2000	2	1	1	other	0.24	0.28	0.25	0.3	0.02
5000000	2500	2000	2	1	1	total	88.53	100.0	100.0	100.0	0.0
5000000	2500	2000	3	1	1	comm	1.05	1.7	1.6	1.79	0.08
5000000	2500	2000	3	1	1	comp	60.78	97.92	97.85	98.03	0.08
5000000	2500	2000	3	1	1	other	0.24	0.38	0.37	0.41	0.02
5000000	2500	2000	3	1	1	total	62.07	100.0	100.0	100.0	0.0
5000000	2500	2000	4	1	1	comm	1.08	2.18	2.0	2.35	0.13
5000000	2500	2000	4	1	1	comp	48.23	97.35	97.16	97.55	0.15
5000000	2500	2000	4	1	1	other	0.24	0.47	0.46	0.49	0.01
5000000	2500	2000	4	1	1	total	49.54	100.0	100.0	100.0	0.0
5000000	2500	2000	5	1	1	comm	1.03	2.55	2.36	2.65	0.1
5000000	2500	2000	5	1	1	comp	39.13	96.91	96.81	97.09	0.1
5000000	2500	2000	5	1	1	other	0.22	0.54	0.51	0.57	0.02
5000000	2500	2000	5	1	1	total	40.38	100.0	100.0	100.0	0.0
5000000	2500	2000	6	1	1	comm	7.73	21.34	15.23	33.67	6.75
5000000	2500	2000	6	1	1	comp	28.48	78.06	65.84	84.15	6.71
5000000	2500	2000	6	1	1	other	0.22	0.6	0.5	0.62	0.04
5000000	2500	2000	6	1	1	total	36.43	100.0	100.0	100.0	0.0
5000000	2500	2000	7	1	1	comm	11.37	25.32	14.69	36.5	6.49
5000000	2500	2000	7	1	1	comp	32.81	74.07	62.98	84.6	6.43
5000000	2500	2000	7	1	1	other	0.27	0.61	0.51	0.71	0.06
5000000	2500	2000	7	1	1	total	44.45	100.0	100.0	100.0	0.0
5000000	2500	2000	8	1	1	comm	12.14	32.49	9.34	41.97	9.52
5000000	2500	2000	8	1	1	comp	24.51	66.89	57.49	89.77	9.42
5000000	2500	2000	8	1	1	other	0.23	0.63	0.52	0.89	0.11
5000000	2500	2000	8	1	1	total	36.88	100.0	100.0	100.0	0.0
5000000	2500	2000	9	1	1	comm	5.13	16.62	8.44	24.72	7.08
5000000	2500	2000	9	1	1	comp	24.45	82.67	74.66	90.75	7.02
5000000	2500	2000	9	1	1	other	0.21	0.71	0.62	0.82	0.07
5000000	2500	2000	9	1	1	total	29.79	100.0	100.0	100.0	0.0
5000000	2500	2000	10	1	1	comm	5.72	20.84	7.94	48.43	11.86
5000000	2500	2000	10	1	1	comp	20.92	78.39	51.0	91.19	11.76
5000000	2500	2000	10	1	1	other	0.21	0.77	0.57	0.88	0.1
5000000	2500	2000	10	1	1	total	26.85	100.0	100.0	100.0	0.0
10000000	5000	2000	1	1	1	comm	0.95	0.3	0.3	0.3	0.0
10000000	5000	2000	1	1	1	comp	308.24	99.6	99.6	99.6	0.0
10000000	5000	2000	1	1	1	other	0.28	0.09	0.09	0.09	0.0
10000000	5000	2000	1	1	1	total	309.47	100.0	100.0	100.0	0.0
10000000	5000	2000	2	1	1	comm	1.17	0.69	0.66	0.72	0.02
10000000	5000	2000	2	1	1	comp	168.51	99.17	99.15	99.18	0.02
10000000	5000	2000	2	1	1	other	0.25	0.15	0.14	0.16	0.0
10000000	5000	2000	2	1	1	total	169.94	100.0	100.0	100.0	0.0
10000000	5000	2000	3	1	1	comm	1.37	1.12	1.06	1.19	0.05
10000000	5000	2000	3	1	1	comp	120.82	98.68	98.6	98.76	0.06
10000000	5000	2000	3	1	1	other	0.24	0.2	0.18	0.21	0.01
10000000	5000	2000	3	1	1	total	122.43	100.0	100.0	100.0	0.0
10000000	5000	2000	4	1	1	comm	1.52	1.56	1.46	1.69	0.08
10000000	5000	2000	4	1	1	comp	95.87	98.21	98.1	98.3	0.08
10000000	5000	2000	4	1	1	other	0.24	0.24	0.22	0.26	0.02
10000000	5000	2000	4	1	1	total	97.63	100.0	100.0	100.0	0.0
10000000	5000	2000	5	1	1	comm	1.52	1.97	1.44	2.21	0.28
10000000	5000	2000	5	1	1	comp	75.56	97.74	97.5	98.28	0.29
10000000	5000	2000	5	1	1	other	0.23	0.3	0.28	0.32	0.02
10000000	5000	2000	5	1	1	total	77.32	100.0	100.0	100.0	0.0
10000000	5000	2000	6	1	1	comm	2.64	3.7	1.98	9.99	2.84
10000000	5000	2000	6	1	1	comp	67.12	95.98	89.72	97.7	2.82
10000000	5000	2000	6	1	1	other	0.23	0.33	0.3	0.36	0.02
10000000	5000	2000	6	1	1	total	70.0	100.0	100.0	100.0	0.0
10000000	5000	2000	7	1	1	comm	17.59	21.48	17.32	28.54	3.79
10000000	5000	2000	7	1	1	comp	63.97	78.16	71.14	82.3	3.77
10000000	5000	2000	7	1	1	other	0.28	0.34	0.32	0.37	0.02
10000000	5000	2000	7	1	1	total	81.84	100.0	100.0	100.0	0.0
10000000	5000	2000	8	1	1	comm	20.37	29.3	11.43	34.4	7.25
10000000	5000	2000	8	1	1	comp	49.0	70.32	65.2	88.09	7.2
10000000	5000	2000	8	1	1	other	0.26	0.37	0.31	0.48	0.06
10000000	5000	2000	8	1	1	total	69.62	100.0	100.0	100.0	0.0
10000000	5000	2000	9	1	1	comm	4.1	7.58	4.09	10.47	2.08
10000000	5000	2000	9	1	1	comp	48.6	91.98	89.12	95.44	2.06
10000000	5000	2000	9	1	1	other	0.23	0.44	0.4	0.47	0.02
10000000	5000	2000	9	1	1	total	52.92	100.0	100.0	100.0	0.0
10000000	5000	2000	10	1	1	comm	4.46	9.53	3.68	45.42	12.06
10000000	5000	2000	10	1	1	comp	41.9	90.0	54.28	95.78	12.0
10000000	5000	2000	10	1	1	other	0.22	0.47	0.3	0.53	0.06
10000000	5000	2000	10	1	1	total	46.58	100.0	100.0	100.0	0.0
10000000	5000	2000	11	1	1	comm	6.7	14.42	4.06	45.82	15.12
10000000	5000	2000	11	1	1	comp	37.14	85.07	53.76	95.4	15.08
10000000	5000	2000	11	1	1	other	0.22	0.5	0.42	0.55	0.04
10000000	5000	2000	11	1	1	total	44.04	100.0	100.0	100.0	0.0
10000000	5000	2000	12	1	1	comm	5.72	14.16	4.36	38.41	12.9
10000000	5000	2000	12	1	1	comp	33.67	85.28	61.09	95.08	12.89
10000000	5000	2000	12	1	1	other	0.22	0.55	0.49	0.6	0.04
10000000	5000	2000	12	1	1	total	39.6	100.0	100.0	100.0	0.0
10000000	5000	2000	13	1	1	comm	6.96	17.48	4.69	34.52	11.4
10000000	5000	2000	13	1	1	comp	31.11	81.94	64.94	94.7	11.38
10000000	5000	2000	13	1	1	other	0.22	0.57	0.5	0.64	0.04
10000000	5000	2000	13	1	1	total	38.28	100.0	100.0	100.0	0.0
10000000	5000	2000	14	1	1	comm	5.74	15.81	4.63	30.2	10.23
10000000	5000	2000	14	1	1	comp	29.16	83.56	69.16	94.68	10.22
10000000	5000	2000	14	1	1	other	0.22	0.63	0.58	0.7	0.04
10000000	5000	2000	14	1	1	total	35.12	100.0	100.0	100.0	0.0
10000000	5000	2000	15	1	1	comm	8.18	22.1	7.01	34.42	8.37
10000000	5000	2000	15	1	1	comp	27.58	77.28	64.98	92.32	8.34
10000000	5000	2000	15	1	1	other	0.22	0.62	0.53	0.7	0.05
10000000	5000	2000	15	1	1	total	35.98	100.0	100.0	100.0	0.0
10000000	5000	2000	16	1	1	comm	5.81	16.94	5.44	23.97	5.21
