parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
1000000	500	2000	1	1	2	comm:bcast	0.34	0.06	46.76	6001.0	0.78
1000000	500	2000	1	1	2	comm:gather	0.01	10.64	0.0	1.0	0.02
1000000	500	2000	1	1	2	comm:histo_extra	0.03	0.02	29.04	2000.0	0.08
1000000	500	2000	1	1	2	comm:recv_task	0.55	0.05	3961.64	12004.0	1.25
1000000	500	2000	1	1	2	comm:scatter	0.02	21.56	0.0	1.0	0.05
1000000	500	2000	1	1	2	comp:drift	7.07	3.54	28.36	2000.0	16.34
1000000	500	2000	1	1	2	comp:histo	10.19	5.1	3.44	2000.0	23.62
1000000	500	2000	1	1	2	comp:kick	24.72	12.36	5.26	2000.0	57.27
1000000	500	2000	1	1	2	Other	0.25	251.86	0.0	1.0	0.58
1000000	500	2000	1	1	2	total_time	43.19	43187.15	0.0	1.0	100.0
3000000	1500	2000	3	1	2	comm:bcast	0.35	0.06	29.01	6001.0	0.81
3000000	1500	2000	3	1	2	comm:gather	0.03	30.09	0.0	1.0	0.07
3000000	1500	2000	3	1	2	comm:histo_extra	1.84	0.92	151.91	2000.0	4.26
3000000	1500	2000	3	1	2	comm:recv_task	0.53	0.04	2447.02	12004.0	1.22
3000000	1500	2000	3	1	2	comm:scatter	0.06	64.09	0.0	1.0	0.15
3000000	1500	2000	3	1	2	comp:drift	6.28	3.14	27.14	2000.0	14.49
3000000	1500	2000	3	1	2	comp:histo	10.02	5.01	4.15	2000.0	23.22
3000000	1500	2000	3	1	2	comp:kick	23.82	11.91	5.41	2000.0	55.18
3000000	1500	2000	3	1	2	Other	0.26	259.01	0.0	1.0	0.6
3000000	1500	2000	3	1	2	total_time	43.19	43187.52	0.0	1.0	100.0
5000000	2500	2000	5	1	2	comm:bcast	0.32	0.06	24.1	6001.0	0.75
5000000	2500	2000	5	1	2	comm:gather	0.07	67.07	0.0	1.0	0.15
5000000	2500	2000	5	1	2	comm:histo_extra	2.2	1.1	246.14	2000.0	5.02
5000000	2500	2000	5	1	2	comm:recv_task	0.38	0.03	738.15	12004.0	0.87
5000000	2500	2000	5	1	2	comm:scatter	0.12	118.1	0.0	1.0	0.27
5000000	2500	2000	5	1	2	comp:drift	6.42	3.21	20.25	2000.0	14.69
5000000	2500	2000	5	1	2	comp:histo	10.02	5.01	4.72	2000.0	22.98
5000000	2500	2000	5	1	2	comp:kick	23.86	11.93	4.95	2000.0	54.7
5000000	2500	2000	5	1	2	Other	0.24	244.51	0.0	1.0	0.56
5000000	2500	2000	5	1	2	total_time	43.64	43635.34	0.0	1.0	100.0
7000000	3500	2000	7	1	2	comm:bcast	0.32	0.05	25.88	6001.0	0.72
7000000	3500	2000	7	1	2	comm:gather	0.08	84.47	0.0	1.0	0.19
7000000	3500	2000	7	1	2	comm:histo_extra	2.29	1.15	172.56	2000.0	5.16
7000000	3500	2000	7	1	2	comm:recv_task	0.42	0.04	1048.05	12004.0	0.96
7000000	3500	2000	7	1	2	comm:scatter	0.62	615.24	0.0	1.0	1.4
7000000	3500	2000	7	1	2	comp:drift	6.32	3.16	18.2	2000.0	14.3
7000000	3500	2000	7	1	2	comp:histo	9.9	4.94	4.39	2000.0	22.39
7000000	3500	2000	7	1	2	comp:kick	24.02	12.02	6.43	2000.0	54.35
7000000	3500	2000	7	1	2	Other	0.24	233.89	0.0	1.0	0.53
7000000	3500	2000	7	1	2	total_time	44.21	44209.66	0.0	1.0	100.0
9000000	4500	2000	9	1	2	comm:bcast	0.32	0.05	20.1	6001.0	0.86
9000000	4500	2000	9	1	2	comm:gather	0.08	76.77	0.0	1.0	0.2
9000000	4500	2000	9	1	2	comm:histo_extra	0.95	0.48	242.54	2000.0	2.52
9000000	4500	2000	9	1	2	comm:recv_task	0.42	0.04	1338.45	12004.0	1.1
9000000	4500	2000	9	1	2	comm:scatter	0.6	599.95	0.0	1.0	1.57
9000000	4500	2000	9	1	2	comp:drift	4.96	2.48	2.84	2000.0	13.18
9000000	4500	2000	9	1	2	comp:histo	9.06	4.53	4.55	2000.0	24.02
9000000	4500	2000	9	1	2	comp:kick	21.08	10.54	7.22	2000.0	55.92
9000000	4500	2000	9	1	2	Other	0.24	232.04	0.0	1.0	0.62
9000000	4500	2000	9	1	2	total_time	37.7	37698.18	0.0	1.0	100.0
11000000	5500	2000	11	1	2	comm:bcast	0.34	0.06	25.06	6001.0	0.74
11000000	5500	2000	11	1	2	comm:gather	0.12	124.11	0.0	1.0	0.26
11000000	5500	2000	11	1	2	comm:histo_extra	4.5	2.25	123.2	2000.0	9.7
11000000	5500	2000	11	1	2	comm:recv_task	1.32	0.11	1268.6	12004.0	2.86
11000000	5500	2000	11	1	2	comm:scatter	0.3	295.79	0.0	1.0	0.64
11000000	5500	2000	11	1	2	comp:drift	6.02	3.02	15.66	2000.0	13.2
11000000	5500	2000	11	1	2	comp:histo	10.08	5.04	4.8	2000.0	22.0
11000000	5500	2000	11	1	2	comp:kick	22.92	11.46	6.74	2000.0	50.08
11000000	5500	2000	11	1	2	Other	0.24	237.9	0.0	1.0	0.52
11000000	5500	2000	11	1	2	total_time	45.84	45843.53	0.0	1.0	100.0
13000000	6500	2000	13	1	2	comm:bcast	0.36	0.06	26.62	6001.0	0.78
13000000	6500	2000	13	1	2	comm:gather	0.14	134.84	0.0	1.0	0.3
13000000	6500	2000	13	1	2	comm:histo_extra	2.7	1.35	158.31	2000.0	6.01
13000000	6500	2000	13	1	2	comm:recv_task	2.06	0.17	1200.42	12004.0	4.65
13000000	6500	2000	13	1	2	comm:scatter	0.28	279.7	0.0	1.0	0.62
13000000	6500	2000	13	1	2	comp:drift	6.38	3.18	12.53	2000.0	14.08
13000000	6500	2000	13	1	2	comp:histo	9.66	4.82	4.9	2000.0	21.38
13000000	6500	2000	13	1	2	comp:kick	23.35	11.68	6.33	2000.0	51.64
13000000	6500	2000	13	1	2	Other	0.24	241.91	0.0	1.0	0.53
13000000	6500	2000	13	1	2	total_time	45.16	45166.4	0.0	1.0	100.0
15000000	7500	2000	15	1	2	comm:bcast	0.36	0.06	31.66	6001.0	0.66
15000000	7500	2000	15	1	2	comm:gather	0.18	174.91	0.0	1.0	0.32
15000000	7500	2000	15	1	2	comm:histo_extra	9.35	4.68	85.2	2000.0	16.93
15000000	7500	2000	15	1	2	comm:recv_task	1.68	0.14	772.88	12004.0	3.04
15000000	7500	2000	15	1	2	comm:scatter	0.38	385.49	0.0	1.0	0.7
15000000	7500	2000	15	1	2	comp:drift	7.07	3.54	16.68	2000.0	12.81
15000000	7500	2000	15	1	2	comp:histo	10.8	5.4	19.68	2000.0	19.56
15000000	7500	2000	15	1	2	comp:kick	25.14	12.57	9.3	2000.0	45.54
15000000	7500	2000	15	1	2	Other	0.25	251.6	0.0	1.0	0.46
15000000	7500	2000	15	1	2	total_time	55.21	55209.06	0.0	1.0	100.0
17000000	8500	2000	17	1	2	comm:bcast	0.42	0.07	43.42	6001.0	0.69
17000000	8500	2000	17	1	2	comm:gather	0.2	195.0	0.0	1.0	0.32
17000000	8500	2000	17	1	2	comm:histo_extra	12.65	6.32	40.67	2000.0	20.62
17000000	8500	2000	17	1	2	comm:recv_task	3.28	0.28	1104.88	12004.0	5.36
17000000	8500	2000	17	1	2	comm:scatter	4.97	4971.46	0.0	1.0	8.06
17000000	8500	2000	17	1	2	comp:drift	5.67	2.84	15.48	2000.0	9.24
17000000	8500	2000	17	1	2	comp:histo	10.48	5.24	7.37	2000.0	17.08
17000000	8500	2000	17	1	2	comp:kick	23.48	11.74	8.19	2000.0	38.24
17000000	8500	2000	17	1	2	Other	0.26	252.06	0.0	1.0	0.41
17000000	8500	2000	17	1	2	total_time	61.41	61410.36	0.0	1.0	100.0
19000000	9500	2000	19	1	2	comm:bcast	0.32	0.05	29.02	6001.0	0.66
19000000	9500	2000	19	1	2	comm:gather	0.2	200.87	0.0	1.0	0.42
19000000	9500	2000	19	1	2	comm:histo_extra	1.31	0.65	178.44	2000.0	2.75
19000000	9500	2000	19	1	2	comm:recv_task	0.58	0.05	2129.62	12004.0	1.23
19000000	9500	2000	19	1	2	comm:scatter	0.45	452.28	0.0	1.0	0.95
19000000	9500	2000	19	1	2	comp:drift	8.91	4.46	3.86	2000.0	18.73
19000000	9500	2000	19	1	2	comp:histo	10.0	5.0	1.99	2000.0	21.01
19000000	9500	2000	19	1	2	comp:kick	25.59	12.8	8.41	2000.0	53.77
19000000	9500	2000	19	1	2	Other	0.24	234.5	0.0	1.0	0.5
19000000	9500	2000	19	1	2	total_time	47.6	47597.64	0.0	1.0	100.0
21000000	10500	2000	21	1	2	comm:bcast	0.31	0.05	26.51	6001.0	0.66
21000000	10500	2000	21	1	2	comm:gather	0.22	216.34	0.0	1.0	0.45
21000000	10500	2000	21	1	2	comm:histo_extra	1.86	0.93	166.0	2000.0	3.87
21000000	10500	2000	21	1	2	comm:recv_task	2.08	0.17	2035.04	12004.0	4.33
21000000	10500	2000	21	1	2	comm:scatter	0.46	456.83	0.0	1.0	0.95
21000000	10500	2000	21	1	2	comp:drift	8.15	4.08	3.59	2000.0	17.04
21000000	10500	2000	21	1	2	comp:histo	9.79	4.9	2.02	2000.0	20.46
21000000	10500	2000	21	1	2	comp:kick	24.77	12.39	8.23	2000.0	51.76
21000000	10500	2000	21	1	2	Other	0.22	221.91	0.0	1.0	0.46
21000000	10500	2000	21	1	2	total_time	47.86	47863.42	0.0	1.0	100.0
23000000	11500	2000	23	1	2	comm:bcast	0.32	0.05	24.97	6001.0	0.67
23000000	11500	2000	23	1	2	comm:gather	0.24	235.1	0.0	1.0	0.49
23000000	11500	2000	23	1	2	comm:histo_extra	2.19	1.1	136.02	2000.0	4.54
23000000	11500	2000	23	1	2	comm:recv_task	2.97	0.25	1966.84	12004.0	6.14
23000000	11500	2000	23	1	2	comm:scatter	0.56	564.11	0.0	1.0	1.17
23000000	11500	2000	23	1	2	comp:drift	7.83	3.92	3.76	2000.0	16.23
23000000	11500	2000	23	1	2	comp:histo	9.7	4.85	2.76	2000.0	20.09
23000000	11500	2000	23	1	2	comp:kick	24.24	12.12	8.56	2000.0	50.22
23000000	11500	2000	23	1	2	Other	0.23	225.62	0.0	1.0	0.47
23000000	11500	2000	23	1	2	total_time	48.28	48283.51	0.0	1.0	100.0
25000000	12500	2000	25	1	2	comm:bcast	0.33	0.06	22.56	6001.0	0.68
25000000	12500	2000	25	1	2	comm:gather	0.27	267.59	0.0	1.0	0.55
25000000	12500	2000	25	1	2	comm:histo_extra	2.31	1.16	131.0	2000.0	4.78
25000000	12500	2000	25	1	2	comm:recv_task	3.29	0.27	1914.68	12004.0	6.8
25000000	12500	2000	25	1	2	comm:scatter	0.49	488.49	0.0	1.0	1.01
25000000	12500	2000	25	1	2	comp:drift	7.68	3.84	3.79	2000.0	15.89
