parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
1000000	500	2000	1	1	2	comm	0.95	2.18	2.18	2.18	0.0
1000000	500	2000	1	1	2	comp	41.98	97.23	97.23	97.23	0.0
1000000	500	2000	1	1	2	other	0.25	0.58	0.58	0.58	0.0
1000000	500	2000	1	1	2	total	43.19	100.0	100.0	100.0	0.0
3000000	1500	2000	3	1	2	comm	2.81	6.51	2.81	13.82	5.17
3000000	1500	2000	3	1	2	comp	40.12	92.88	85.59	96.58	5.16
3000000	1500	2000	3	1	2	other	0.26	0.6	0.58	0.61	0.01
3000000	1500	2000	3	1	2	total	43.19	100.0	100.0	100.0	0.0
5000000	2500	2000	5	1	2	comm	3.09	7.06	2.7	13.5	5.23
5000000	2500	2000	5	1	2	comp	40.31	92.38	85.96	96.71	5.2
5000000	2500	2000	5	1	2	other	0.24	0.56	0.52	0.6	0.03
5000000	2500	2000	5	1	2	total	43.64	100.0	100.0	100.0	0.0
7000000	3500	2000	7	1	2	comm	3.74	8.43	3.02	14.82	5.46
7000000	3500	2000	7	1	2	comp	40.24	91.04	84.67	96.42	5.43
7000000	3500	2000	7	1	2	other	0.24	0.53	0.5	0.57	0.03
7000000	3500	2000	7	1	2	total	44.21	100.0	100.0	100.0	0.0
9000000	4500	2000	9	1	2	comm	2.37	6.26	3.31	8.85	2.19
9000000	4500	2000	9	1	2	comp	35.1	93.12	90.59	96.02	2.15
9000000	4500	2000	9	1	2	other	0.24	0.62	0.56	0.68	0.05
9000000	4500	2000	9	1	2	total	37.7	100.0	100.0	100.0	0.0
11000000	5500	2000	11	1	2	comm	6.58	14.21	3.69	22.6	7.35
11000000	5500	2000	11	1	2	comp	39.03	85.27	76.9	95.78	7.3
11000000	5500	2000	11	1	2	other	0.24	0.52	0.45	0.62	0.05
11000000	5500	2000	11	1	2	total	45.84	100.0	100.0	100.0	0.0
13000000	6500	2000	13	1	2	comm	5.54	12.36	4.36	20.3	7.16
13000000	6500	2000	13	1	2	comp	39.39	87.1	79.19	95.1	7.14
13000000	6500	2000	13	1	2	other	0.24	0.53	0.47	0.71	0.06
13000000	6500	2000	13	1	2	total	45.16	100.0	100.0	100.0	0.0
15000000	7500	2000	15	1	2	comm	11.96	21.64	18.24	23.58	1.44
15000000	7500	2000	15	1	2	comp	43.0	77.91	75.96	81.26	1.43
15000000	7500	2000	15	1	2	other	0.25	0.46	0.42	0.5	0.02
15000000	7500	2000	15	1	2	total	55.21	100.0	100.0	100.0	0.0
17000000	8500	2000	17	1	2	comm	21.52	35.03	16.82	39.67	5.07
17000000	8500	2000	17	1	2	comp	39.63	64.56	59.9	82.64	5.04
17000000	8500	2000	17	1	2	other	0.26	0.41	0.36	0.55	0.05
17000000	8500	2000	17	1	2	total	61.41	100.0	100.0	100.0	0.0
19000000	9500	2000	19	1	2	comm	2.86	6.0	4.0	8.36	1.64
19000000	9500	2000	19	1	2	comp	44.51	93.51	90.96	95.55	1.67
19000000	9500	2000	19	1	2	other	0.24	0.5	0.46	0.68	0.06
19000000	9500	2000	19	1	2	total	47.6	100.0	100.0	100.0	0.0
21000000	10500	2000	21	1	2	comm	4.92	10.27	4.42	46.94	12.0
21000000	10500	2000	21	1	2	comp	42.72	89.27	52.77	95.1	11.95
21000000	10500	2000	21	1	2	other	0.22	0.46	0.28	0.63	0.07
21000000	10500	2000	21	1	2	total	47.86	100.0	100.0	100.0	0.0
23000000	11500	2000	23	1	2	comm	6.28	13.0	4.99	41.8	13.24
23000000	11500	2000	23	1	2	comp	41.78	86.53	57.7	94.56	13.23
23000000	11500	2000	23	1	2	other	0.23	0.47	0.41	0.51	0.02
23000000	11500	2000	23	1	2	total	48.28	100.0	100.0	100.0	0.0
25000000	12500	2000	25	1	2	comm	6.69	13.83	5.21	35.65	12.17
25000000	12500	2000	25	1	2	comp	41.44	85.69	63.83	94.32	12.18
25000000	12500	2000	25	1	2	other	0.23	0.48	0.45	0.53	0.02
25000000	12500	2000	25	1	2	total	48.36	100.0	100.0	100.0	0.0
27000000	13500	2000	27	1	2	comm	6.95	14.28	5.6	31.0	10.64
27000000	13500	2000	27	1	2	comp	41.46	85.24	68.5	93.96	10.65
27000000	13500	2000	27	1	2	other	0.23	0.48	0.44	0.53	0.03
27000000	13500	2000	27	1	2	total	48.64	100.0	100.0	100.0	0.0
29000000	14500	2000	29	1	2	comm	7.27	14.82	6.79	29.32	8.87
29000000	14500	2000	29	1	2	comp	41.55	84.69	70.15	92.74	8.88
29000000	14500	2000	29	1	2	other	0.24	0.49	0.44	0.62	0.04
29000000	14500	2000	29	1	2	total	49.06	100.0	100.0	100.0	0.0
31000000	15500	2000	31	1	2	comm	6.67	13.56	6.67	21.73	6.4
31000000	15500	2000	31	1	2	comp	42.29	85.96	77.77	92.88	6.4
31000000	15500	2000	31	1	2	other	0.24	0.49	0.45	0.55	0.03
31000000	15500	2000	31	1	2	total	49.2	100.0	100.0	100.0	0.0
33000000	16500	2000	33	1	2	comm	6.52	13.07	7.65	18.21	4.23
33000000	16500	2000	33	1	2	comp	43.13	86.45	81.29	91.9	4.25
33000000	16500	2000	33	1	2	other	0.24	0.48	0.42	0.56	0.03
33000000	16500	2000	33	1	2	total	49.9	100.0	100.0	100.0	0.0
35000000	17500	2000	35	1	2	comm	12.44	21.93	17.29	24.68	2.79
35000000	17500	2000	35	1	2	comp	44.04	77.64	74.93	82.25	2.78
35000000	17500	2000	35	1	2	other	0.25	0.43	0.38	0.48	0.03
35000000	17500	2000	35	1	2	total	56.72	100.0	100.0	100.0	0.0
37000000	18500	2000	37	1	2	comm	4.79	9.67	7.15	10.95	1.4
37000000	18500	2000	37	1	2	comp	44.47	89.85	88.56	92.4	1.41
37000000	18500	2000	37	1	2	other	0.24	0.48	0.42	0.54	0.03
37000000	18500	2000	37	1	2	total	49.49	100.0	100.0	100.0	0.0
39000000	19500	2000	39	1	2	comm	21.06	31.66	27.78	34.54	1.84
39000000	19500	2000	39	1	2	comp	45.2	67.95	65.12	71.79	1.81
39000000	19500	2000	39	1	2	other	0.26	0.38	0.34	0.46	0.04
39000000	19500	2000	39	1	2	total	66.51	100.0	100.0	100.0	0.0
