parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
1000000	500	2000	1	1	4	comm:bcast	0.47	0.08	982.75	6001.0	1.26
1000000	500	2000	1	1	4	comm:gather	0.01	12.15	0.0	1.0	0.03
1000000	500	2000	1	1	4	comm:histo_extra	0.03	0.02	33.92	2000.0	0.08
1000000	500	2000	1	1	4	comm:recv_task	0.41	0.03	1757.31	12004.0	1.08
1000000	500	2000	1	1	4	comm:scatter	0.02	20.61	0.0	1.0	0.05
1000000	500	2000	1	1	4	comp:drift	3.96	1.98	39.24	2000.0	10.55
1000000	500	2000	1	1	4	comp:histo	9.98	4.99	8.21	2000.0	26.61
1000000	500	2000	1	1	4	comp:kick	22.38	11.19	8.72	2000.0	59.71
1000000	500	2000	1	1	4	Other	0.23	226.88	0.0	1.0	0.61
1000000	500	2000	1	1	4	total_time	37.48	37481.84	0.0	1.0	100.0
3000000	1500	2000	3	1	4	comm:bcast	0.34	0.06	35.12	6001.0	0.89
3000000	1500	2000	3	1	4	comm:gather	0.03	32.06	0.0	1.0	0.08
3000000	1500	2000	3	1	4	comm:histo_extra	0.46	0.23	248.04	2000.0	1.23
3000000	1500	2000	3	1	4	comm:recv_task	1.28	0.11	374.22	12004.0	3.37
3000000	1500	2000	3	1	4	comm:scatter	0.19	188.76	0.0	1.0	0.5
3000000	1500	2000	3	1	4	comp:drift	3.54	1.77	35.18	2000.0	9.35
3000000	1500	2000	3	1	4	comp:histo	9.8	4.9	7.72	2000.0	25.85
3000000	1500	2000	3	1	4	comp:kick	22.05	11.02	7.65	2000.0	58.16
3000000	1500	2000	3	1	4	Other	0.22	222.14	0.0	1.0	0.59
3000000	1500	2000	3	1	4	total_time	37.91	37910.04	0.0	1.0	100.0
5000000	2500	2000	5	1	4	comm:bcast	0.33	0.06	26.58	6001.0	0.77
5000000	2500	2000	5	1	4	comm:gather	0.08	79.5	0.0	1.0	0.19
5000000	2500	2000	5	1	4	comm:histo_extra	1.98	0.99	189.03	2000.0	4.62
5000000	2500	2000	5	1	4	comm:recv_task	3.19	0.27	3876.61	12004.0	6.97
5000000	2500	2000	5	1	4	comm:scatter	0.31	310.75	0.0	1.0	0.72
5000000	2500	2000	5	1	4	comp:drift	4.12	2.06	22.64	2000.0	9.69
5000000	2500	2000	5	1	4	comp:histo	10.12	5.06	9.89	2000.0	23.71
5000000	2500	2000	5	1	4	comp:kick	22.54	11.27	4.4	2000.0	52.78
5000000	2500	2000	5	1	4	Other	0.24	235.9	0.0	1.0	0.55
5000000	2500	2000	5	1	4	total_time	42.91	42907.66	0.0	1.0	100.0
7000000	3500	2000	7	1	4	comm:bcast	0.33	0.06	24.42	6001.0	0.78
7000000	3500	2000	7	1	4	comm:gather	0.09	88.13	0.0	1.0	0.21
7000000	3500	2000	7	1	4	comm:histo_extra	1.22	0.61	179.77	2000.0	2.94
7000000	3500	2000	7	1	4	comm:recv_task	2.86	0.24	3938.77	12004.0	6.4
