parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
1000000	500	2000	1	1	1	comm:bcast	0.35	0.06	551.88	6001.0	0.95
1000000	500	2000	1	1	1	comm:gather	0.01	10.8	0.0	1.0	0.03
1000000	500	2000	1	1	1	comm:histo_extra	0.03	0.02	25.75	2000.0	0.08
1000000	500	2000	1	1	1	comm:recv_task	0.33	0.03	1137.66	12004.0	0.9
1000000	500	2000	1	1	1	comm:scatter	0.02	22.22	0.0	1.0	0.06
1000000	500	2000	1	1	1	comp:drift	3.61	1.8	24.2	2000.0	9.75
1000000	500	2000	1	1	1	comp:histo	9.92	4.96	3.54	2000.0	26.81
1000000	500	2000	1	1	1	comp:kick	22.5	11.25	4.05	2000.0	60.82
1000000	500	2000	1	1	1	Other	0.22	221.59	0.0	1.0	0.6
1000000	500	2000	1	1	1	total_time	37.0	36998.5	0.0	1.0	100.0
2000000	1000	2000	2	1	1	comm:bcast	0.3	0.05	21.56	6001.0	0.79
2000000	1000	2000	2	1	1	comm:gather	0.02	22.46	0.0	1.0	0.06
2000000	1000	2000	2	1	1	comm:histo_extra	0.2	0.1	239.4	2000.0	0.53
2000000	1000	2000	2	1	1	comm:recv_task	0.28	0.02	584.86	12004.0	0.75
2000000	1000	2000	2	1	1	comm:scatter	0.04	41.74	0.0	1.0	0.11
2000000	1000	2000	2	1	1	comp:drift	4.09	2.05	12.93	2000.0	10.86
2000000	1000	2000	2	1	1	comp:histo	9.92	4.96	3.94	2000.0	26.31
2000000	1000	2000	2	1	1	comp:kick	22.62	11.31	3.14	2000.0	60.0
2000000	1000	2000	2	1	1	Other	0.23	225.75	0.0	1.0	0.6
2000000	1000	2000	2	1	1	total_time	37.7	37699.5	0.0	1.0	100.0
3000000	1500	2000	3	1	1	comm:bcast	0.33	0.05	25.64	6001.0	0.73
3000000	1500	2000	3	1	1	comm:gather	0.03	30.25	0.0	1.0	0.07
3000000	1500	2000	3	1	1	comm:histo_extra	3.3	1.65	209.43	2000.0	7.33
3000000	1500	2000	3	1	1	comm:recv_task	1.02	0.09	450.61	12004.0	2.27
3000000	1500	2000	3	1	1	comm:scatter	0.06	60.18	0.0	1.0	0.14
3000000	1500	2000	3	1	1	comp:drift	4.7	2.35	18.87	2000.0	10.5
3000000	1500	2000	3	1	1	comp:histo	11.86	5.93	36.85	2000.0	26.48
3000000	1500	2000	3	1	1	comp:kick	23.26	11.63	12.67	2000.0	51.95
3000000	1500	2000	3	1	1	Other	0.25	247.24	0.0	1.0	0.55
3000000	1500	2000	3	1	1	total_time	44.8	44801.17	0.0	1.0	100.0
4000000	2000	2000	4	1	1	comm:bcast	0.39	0.06	34.52	6001.0	0.75
4000000	2000	2000	4	1	1	comm:gather	0.04	44.19	0.0	1.0	0.08
4000000	2000	2000	4	1	1	comm:histo_extra	8.11	4.06	118.16	2000.0	15.72
4000000	2000	2000	4	1	1	comm:recv_task	2.78	0.23	525.68	12004.0	5.37
4000000	2000	2000	4	1	1	comm:scatter	0.08	85.89	0.0	1.0	0.16
4000000	2000	2000	4	1	1	comp:drift	4.34	2.17	26.43	2000.0	8.41
4000000	2000	2000	4	1	1	comp:histo	12.64	6.32	8.95	2000.0	24.53
4000000	2000	2000	4	1	1	comp:kick	22.92	11.46	10.42	2000.0	44.47
4000000	2000	2000	4	1	1	Other	0.26	262.04	0.0	1.0	0.51
4000000	2000	2000	4	1	1	total_time	51.56	51558.25	0.0	1.0	100.0
5000000	2500	2000	5	1	1	comm:bcast	0.32	0.05	21.5	6001.0	0.78
5000000	2500	2000	5	1	1	comm:gather	0.05	45.09	0.0	1.0	0.11
5000000	2500	2000	5	1	1	comm:histo_extra	0.25	0.13	308.93	2000.0	0.63
5000000	2500	2000	5	1	1	comm:recv_task	0.33	0.03	949.16	12004.0	0.81
5000000	2500	2000	5	1	1	comm:scatter	0.07	73.09	0.0	1.0	0.18
5000000	2500	2000	5	1	1	comp:drift	5.98	2.99	11.53	2000.0	14.74
5000000	2500	2000	5	1	1	comp:histo	9.9	4.95	2.27	2000.0	24.4
5000000	2500	2000	5	1	1	comp:kick	23.44	11.72	5.95	2000.0	57.8
5000000	2500	2000	5	1	1	Other	0.23	224.45	0.0	1.0	0.55
5000000	2500	2000	5	1	1	total_time	40.56	40560.28	0.0	1.0	100.0
6000000	3000	2000	6	1	1	comm:bcast	0.38	0.06	25.5	6001.0	0.67
6000000	3000	2000	6	1	1	comm:gather	0.09	86.49	0.0	1.0	0.16
6000000	3000	2000	6	1	1	comm:histo_extra	9.13	4.56	91.65	2000.0	16.23
6000000	3000	2000	6	1	1	comm:recv_task	2.18	0.18	902.01	12004.0	3.85
6000000	3000	2000	6	1	1	comm:scatter	0.43	428.27	0.0	1.0	0.77
6000000	3000	2000	6	1	1	comp:drift	6.22	3.11	17.5	2000.0	11.1
6000000	3000	2000	6	1	1	comp:histo	12.51	6.26	38.57	2000.0	22.28
6000000	3000	2000	6	1	1	comp:kick	24.9	12.45	12.39	2000.0	44.46
6000000	3000	2000	6	1	1	Other	0.27	270.36	0.0	1.0	0.48
6000000	3000	2000	6	1	1	total_time	56.1	56102.49	0.0	1.0	100.0
7000000	3500	2000	7	1	1	comm:bcast	0.41	0.07	32.96	6001.0	0.71
7000000	3500	2000	7	1	1	comm:gather	0.1	103.02	0.0	1.0	0.18
7000000	3500	2000	7	1	1	comm:histo_extra	11.7	5.85	48.36	2000.0	20.23
7000000	3500	2000	7	1	1	comm:recv_task	4.12	0.34	582.6	12004.0	7.08
7000000	3500	2000	7	1	1	comm:scatter	0.14	137.72	0.0	1.0	0.23
7000000	3500	2000	7	1	1	comp:drift	5.08	2.54	19.13	2000.0	8.78
7000000	3500	2000	7	1	1	comp:histo	12.11	6.05	18.45	2000.0	20.92
7000000	3500	2000	7	1	1	comp:kick	23.96	11.98	8.52	2000.0	41.4
7000000	3500	2000	7	1	1	Other	0.27	269.05	0.0	1.0	0.46
7000000	3500	2000	7	1	1	total_time	57.88	57884.84	0.0	1.0	100.0
8000000	4000	2000	8	1	1	comm:bcast	0.38	0.06	28.02	6001.0	0.62
8000000	4000	2000	8	1	1	comm:gather	0.1	102.9	0.0	1.0	0.17
8000000	4000	2000	8	1	1	comm:histo_extra	9.8	4.89	96.62	2000.0	16.22
8000000	4000	2000	8	1	1	comm:recv_task	2.93	0.25	983.58	12004.0	4.83
8000000	4000	2000	8	1	1	comm:scatter	1.17	1170.73	0.0	1.0	1.86
8000000	4000	2000	8	1	1	comp:drift	6.87	3.43	18.77	2000.0	11.37
8000000	4000	2000	8	1	1	comp:histo	12.95	6.48	40.51	2000.0	21.46
8000000	4000	2000	8	1	1	comp:kick	25.96	12.98	15.24	2000.0	43.02
8000000	4000	2000	8	1	1	Other	0.27	272.22	0.0	1.0	0.45
8000000	4000	2000	8	1	1	total_time	60.43	60430.53	0.0	1.0	100.0
9000000	4500	2000	9	1	1	comm:bcast	0.46	0.08	47.88	6001.0	0.82
9000000	4500	2000	9	1	1	comm:gather	0.15	147.89	0.0	1.0	0.26
9000000	4500	2000	9	1	1	comm:histo_extra	8.47	4.24	89.0	2000.0	15.02
9000000	4500	2000	9	1	1	comm:recv_task	3.17	0.26	1250.57	12004.0	5.53
9000000	4500	2000	9	1	1	comm:scatter	0.18	179.67	0.0	1.0	0.32
9000000	4500	2000	9	1	1	comp:drift	7.36	3.68	5.28	2000.0	13.05
9000000	4500	2000	9	1	1	comp:histo	11.31	5.65	1.48	2000.0	20.11
9000000	4500	2000	9	1	1	comp:kick	25.03	12.51	6.79	2000.0	44.44
9000000	4500	2000	9	1	1	Other	0.25	247.7	0.0	1.0	0.44
9000000	4500	2000	9	1	1	total_time	56.38	56374.58	0.0	1.0	100.0
10000000	5000	2000	10	1	1	comm:bcast	0.4	0.07	31.19	6001.0	0.85
10000000	5000	2000	10	1	1	comm:gather	0.12	122.33	0.0	1.0	0.26
10000000	5000	2000	10	1	1	comm:histo_extra	1.2	0.6	223.1	2000.0	2.54
10000000	5000	2000	10	1	1	comm:recv_task	1.83	0.15	1911.64	12004.0	3.73
10000000	5000	2000	10	1	1	comm:scatter	0.32	317.78	0.0	1.0	0.67
10000000	5000	2000	10	1	1	comp:drift	7.97	3.98	6.62	2000.0	16.96
10000000	5000	2000	10	1	1	comp:histo	10.03	5.01	7.32	2000.0	21.29
10000000	5000	2000	10	1	1	comp:kick	25.02	12.51	8.55	2000.0	53.15
10000000	5000	2000	10	1	1	Other	0.25	248.86	0.0	1.0	0.53
10000000	5000	2000	10	1	1	total_time	47.14	47144.78	0.0	1.0	100.0
11000000	5500	2000	11	1	1	comm:bcast	0.36	0.06	27.25	6001.0	0.73
11000000	5500	2000	11	1	1	comm:gather	0.09	91.82	0.0	1.0	0.19
11000000	5500	2000	11	1	1	comm:histo_extra	0.67	0.34	235.96	2000.0	1.38
11000000	5500	2000	11	1	1	comm:recv_task	2.12	0.18	2490.4	12004.0	4.3
11000000	5500	2000	11	1	1	comm:scatter	2.9	2895.91	0.0	1.0	5.74
11000000	5500	2000	11	1	1	comp:drift	7.96	3.98	6.75	2000.0	16.25
