parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
1000000	500	2000	1	1	1	comm	0.75	2.02	2.02	2.02	0.0
1000000	500	2000	1	1	1	comp	36.03	97.38	97.38	97.38	0.0
1000000	500	2000	1	1	1	other	0.22	0.6	0.6	0.6	0.0
1000000	500	2000	1	1	1	total	37.0	100.0	100.0	100.0	0.0
2000000	1000	2000	2	1	1	comm	0.84	2.23	2.08	2.38	0.15
2000000	1000	2000	2	1	1	comp	36.63	97.17	97.02	97.32	0.15
2000000	1000	2000	2	1	1	other	0.23	0.6	0.59	0.61	0.02
2000000	1000	2000	2	1	1	total	37.7	100.0	100.0	100.0	0.0
3000000	1500	2000	3	1	1	comm	4.74	10.53	5.78	13.79	3.52
3000000	1500	2000	3	1	1	comp	39.82	88.92	85.68	93.63	3.49
3000000	1500	2000	3	1	1	other	0.25	0.55	0.52	0.59	0.03
3000000	1500	2000	3	1	1	total	44.8	100.0	100.0	100.0	0.0
4000000	2000	2000	4	1	1	comm	11.4	22.09	2.09	28.98	11.55
4000000	2000	2000	4	1	1	comp	39.9	77.39	70.55	97.3	11.49
4000000	2000	2000	4	1	1	other	0.26	0.51	0.46	0.6	0.06
4000000	2000	2000	4	1	1	total	51.56	100.0	100.0	100.0	0.0
5000000	2500	2000	5	1	1	comm	1.01	2.5	2.3	2.77	0.17
5000000	2500	2000	5	1	1	comp	39.32	96.94	96.65	97.17	0.19
5000000	2500	2000	5	1	1	other	0.23	0.55	0.52	0.62	0.03
5000000	2500	2000	5	1	1	total	40.56	100.0	100.0	100.0	0.0
6000000	3000	2000	6	1	1	comm	12.21	21.68	17.32	23.86	2.14
6000000	3000	2000	6	1	1	comp	43.63	77.84	75.68	82.17	2.12
6000000	3000	2000	6	1	1	other	0.27	0.48	0.46	0.52	0.02
6000000	3000	2000	6	1	1	total	56.1	100.0	100.0	100.0	0.0
7000000	3500	2000	7	1	1	comm	16.47	28.44	12.18	34.0	7.51
7000000	3500	2000	7	1	1	comp	41.15	71.09	65.55	87.27	7.47
7000000	3500	2000	7	1	1	other	0.27	0.46	0.4	0.56	0.05
7000000	3500	2000	7	1	1	total	57.88	100.0	100.0	100.0	0.0
8000000	4000	2000	8	1	1	comm	14.38	23.7	17.2	29.5	3.86
8000000	4000	2000	8	1	1	comp	45.78	75.84	70.07	82.32	3.84
8000000	4000	2000	8	1	1	other	0.27	0.45	0.41	0.49	0.03
8000000	4000	2000	8	1	1	total	60.43	100.0	100.0	100.0	0.0
9000000	4500	2000	9	1	1	comm	12.43	21.96	3.1	28.63	6.97
9000000	4500	2000	9	1	1	comp	43.69	77.6	70.98	96.23	6.89
9000000	4500	2000	9	1	1	other	0.25	0.44	0.38	0.67	0.09
9000000	4500	2000	9	1	1	total	56.38	100.0	100.0	100.0	0.0
10000000	5000	2000	10	1	1	comm	3.88	8.06	5.2	24.46	5.73
10000000	5000	2000	10	1	1	comp	43.02	91.41	74.83	94.3	5.79
10000000	5000	2000	10	1	1	other	0.25	0.53	0.45	0.71	0.07
10000000	5000	2000	10	1	1	total	47.14	100.0	100.0	100.0	0.0
11000000	5500	2000	11	1	1	comm	6.14	12.34	3.51	23.25	6.22
11000000	5500	2000	11	1	1	comp	42.68	87.18	76.16	96.01	6.27
11000000	5500	2000	11	1	1	other	0.24	0.48	0.4	0.63	0.08
11000000	5500	2000	11	1	1	total	49.05	100.0	100.0	100.0	0.0
12000000	6000	2000	12	1	1	comm	6.18	12.2	5.36	26.34	7.56
12000000	6000	2000	12	1	1	comp	42.42	87.3	73.13	94.13	7.56
12000000	6000	2000	12	1	1	other	0.24	0.5	0.4	0.6	0.06
12000000	6000	2000	12	1	1	total	48.84	100.0	100.0	100.0	0.0
13000000	6500	2000	13	1	1	comm	6.92	13.96	3.38	35.36	12.54
13000000	6500	2000	13	1	1	comp	40.85	85.57	64.2	96.16	12.54
13000000	6500	2000	13	1	1	other	0.22	0.46	0.4	0.5	0.03
13000000	6500	2000	13	1	1	total	47.99	100.0	100.0	100.0	0.0
14000000	7000	2000	14	1	1	comm	9.38	18.29	4.55	31.88	8.82
14000000	7000	2000	14	1	1	comp	40.96	81.26	67.68	94.96	8.82
14000000	7000	2000	14	1	1	other	0.23	0.45	0.41	0.5	0.03
14000000	7000	2000	14	1	1	total	50.56	100.0	100.0	100.0	0.0
15000000	7500	2000	15	1	1	comm	7.26	14.66	4.22	25.01	7.09
15000000	7500	2000	15	1	1	comp	41.32	84.85	74.48	95.27	7.1
15000000	7500	2000	15	1	1	other	0.24	0.49	0.44	0.68	0.06
15000000	7500	2000	15	1	1	total	48.82	100.0	100.0	100.0	0.0
16000000	8000	2000	16	1	1	comm	5.26	10.9	5.6	21.42	4.73
16000000	8000	2000	16	1	1	comp	42.3	88.62	78.1	93.9	4.73
16000000	8000	2000	16	1	1	other	0.23	0.48	0.44	0.52	0.02
16000000	8000	2000	16	1	1	total	47.8	100.0	100.0	100.0	0.0
17000000	8500	2000	17	1	1	comm	4.94	10.04	5.5	16.44	3.47
17000000	8500	2000	17	1	1	comp	43.28	89.48	83.08	94.02	3.46
17000000	8500	2000	17	1	1	other	0.23	0.48	0.44	0.52	0.02
17000000	8500	2000	17	1	1	total	48.45	100.0	100.0	100.0	0.0
18000000	9000	2000	18	1	1	comm	7.76	14.72	5.58	20.72	4.46
18000000	9000	2000	18	1	1	comp	43.9	84.84	78.86	93.93	4.44
18000000	9000	2000	18	1	1	other	0.23	0.44	0.4	0.5	0.03
18000000	9000	2000	18	1	1	total	51.88	100.0	100.0	100.0	0.0
19000000	9500	2000	19	1	1	comm	21.09	31.26	25.52	38.58	3.64
19000000	9500	2000	19	1	1	comp	45.87	68.34	61.08	74.0	3.6
19000000	9500	2000	19	1	1	other	0.27	0.4	0.33	0.48	0.04
